Year:year,Member State:text,Greenhouse gas (GHG) emission intensity:number,Indicative level-high:number,Indicative level-low:number
2020,EU-27,,265,265
2030,EU-27,,118,110
1990,Sweden,10,,
1991,Sweden,15,,
1992,Sweden,16,,
1993,Sweden,18,,
1994,Sweden,25,,
1995,Sweden,20,,
1996,Sweden,47,,
1997,Sweden,20,,
1998,Sweden,24,,
1999,Sweden,19,,
2000,Sweden,17,,
2001,Sweden,19,,
2002,Sweden,24,,
2003,Sweden,35,,
2004,Sweden,21,,
2005,Sweden,17,,
2006,Sweden,19,,
2007,Sweden,17,,
2008,Sweden,17,,
2009,Sweden,17,,
2010,Sweden,23,,
2011,Sweden,16,,
2012,Sweden,13,,
2013,Sweden,13,,
2014,Sweden,11,,
2015,Sweden,10,,
2016,Sweden,10,,
2017,Sweden,10,,
2018,Sweden,12,,
2019,Sweden,10,,
2020,Sweden,8,,
2021,Sweden,9,,
1990,Luxembourg,431,,
1991,Luxembourg,462,,
1992,Luxembourg,527,,
1993,Luxembourg,577,,
1994,Luxembourg,438,,
1995,Luxembourg,956,,
1996,Luxembourg,929,,
1997,Luxembourg,494,,
1998,Luxembourg,345,,
1999,Luxembourg,464,,
2000,Luxembourg,92,,
2001,Luxembourg,163,,
2002,Luxembourg,273,,
2003,Luxembourg,245,,
2004,Luxembourg,266,,
2005,Luxembourg,262,,
2006,Luxembourg,263,,
2007,Luxembourg,262,,
2008,Luxembourg,235,,
2009,Luxembourg,275,,
2010,Luxembourg,227,,
2011,Luxembourg,229,,
2012,Luxembourg,231,,
2013,Luxembourg,180,,
2014,Luxembourg,193,,
2015,Luxembourg,136,,
2016,Luxembourg,69,,
2017,Luxembourg,63,,
2018,Luxembourg,63,,
2019,Luxembourg,71,,
2020,Luxembourg,59,,
2021,Luxembourg,45,,
1990,France,210,,
1991,France,176,,
1992,France,178,,
1993,France,166,,
1994,France,152,,
1995,France,139,,
1996,France,139,,
1997,France,136,,
1998,France,160,,
1999,France,114,,
2000,France,90,,
2001,France,70,,
2002,France,75,,
2003,France,82,,
2004,France,81,,
2005,France,102,,
2006,France,99,,
2007,France,95,,
2008,France,86,,
2009,France,79,,
2010,France,78,,
2011,France,71,,
2012,France,78,,
2013,France,75,,
2014,France,57,,
2015,France,60,,
2016,France,66,,
2017,France,75,,
2018,France,61,,
2019,France,62,,
2020,France,57,,
2021,France,58,,
1990,Finland,195,,
1991,Finland,175,,
1992,Finland,155,,
1993,Finland,190,,
1994,Finland,250,,
1995,Finland,223,,
1996,Finland,276,,
1997,Finland,253,,
1998,Finland,205,,
1999,Finland,191,,
2000,Finland,158,,
2001,Finland,203,,
2002,Finland,226,,
2003,Finland,286,,
2004,Finland,239,,
2005,Finland,146,,
2006,Finland,244,,
2007,Finland,220,,
2008,Finland,162,,
2009,Finland,176,,
2010,Finland,215,,
2011,Finland,174,,
2012,Finland,124,,
2013,Finland,158,,
2014,Finland,138,,
2015,Finland,99,,
2016,Finland,107,,
2017,Finland,93,,
2018,Finland,109,,
2019,Finland,85,,
2020,Finland,65,,
2021,Finland,70,,
1990,Austria,232,,
1991,Austria,240,,
1992,Austria,187,,
1993,Austria,172,,
1994,Austria,189,,
1995,Austria,202,,
1996,Austria,206,,
1997,Austria,206,,
1998,Austria,179,,
1999,Austria,163,,
2000,Austria,155,,
2001,Austria,162,,
2002,Austria,154,,
2003,Austria,204,,
2004,Austria,185,,
2005,Austria,180,,
2006,Austria,175,,
2007,Austria,160,,
2008,Austria,146,,
2009,Austria,131,,
2010,Austria,153,,
2011,Austria,160,,
2012,Austria,116,,
2013,Austria,106,,
2014,Austria,92,,
2015,Austria,107,,
2016,Austria,94,,
2017,Austria,103,,
2018,Austria,99,,
2019,Austria,92,,
2020,Austria,79,,
2021,Austria,82,,
1990,Latvia,301,,
1991,Latvia,248,,
1992,Latvia,273,,
1993,Latvia,215,,
1994,Latvia,164,,
1995,Latvia,108,,
1996,Latvia,175,,
1997,Latvia,115,,
1998,Latvia,96,,
1999,Latvia,157,,
2000,Latvia,113,,
2001,Latvia,110,,
2002,Latvia,120,,
2003,Latvia,126,,
2004,Latvia,89,,
2005,Latvia,84,,
2006,Latvia,107,,
2007,Latvia,100,,
2008,Latvia,109,,
2009,Latvia,96,,
2010,Latvia,119,,
2011,Latvia,129,,
2012,Latvia,89,,
2013,Latvia,126,,
2014,Latvia,126,,
2015,Latvia,146,,
2016,Latvia,115,,
2017,Latvia,64,,
2018,Latvia,137,,
2019,Latvia,150,,
2020,Latvia,102,,
2021,Latvia,106,,
1990,Slovakia,467,,
1991,Slovakia,412,,
1992,Slovakia,345,,
1993,Slovakia,330,,
1994,Slovakia,279,,
1995,Slovakia,256,,
1996,Slovakia,254,,
1997,Slovakia,271,,
1998,Slovakia,247,,
1999,Slovakia,220,,
2000,Slovakia,210,,
2001,Slovakia,214,,
2002,Slovakia,202,,
2003,Slovakia,217,,
2004,Slovakia,221,,
2005,Slovakia,193,,
2006,Slovakia,183,,
2007,Slovakia,185,,
2008,Slovakia,188,,
2009,Slovakia,166,,
2010,Slovakia,141,,
2011,Slovakia,152,,
2012,Slovakia,149,,
2013,Slovakia,131,,
2014,Slovakia,118,,
2015,Slovakia,125,,
2016,Slovakia,117,,
2017,Slovakia,112,,
2018,Slovakia,134,,
2019,Slovakia,120,,
2020,Slovakia,104,,
2021,Slovakia,113,,
1990,Denmark,686,,
1991,Denmark,707,,
1992,Denmark,677,,
1993,Denmark,643,,
1994,Denmark,643,,
1995,Denmark,618,,
1996,Denmark,638,,
1997,Denmark,587,,
1998,Denmark,550,,
1999,Denmark,518,,
2000,Denmark,488,,
2001,Denmark,480,,
2002,Denmark,471,,
2003,Denmark,497,,
2004,Denmark,431,,
2005,Denmark,397,,
2006,Denmark,481,,
2007,Denmark,448,,
2008,Denmark,420,,
2009,Denmark,420,,
2010,Denmark,375,,
2011,Denmark,337,,
2012,Denmark,285,,
2013,Denmark,319,,
2014,Denmark,275,,
2015,Denmark,197,,
2016,Denmark,228,,
2017,Denmark,175,,
2018,Denmark,187,,
2019,Denmark,114,,
2020,Denmark,112,,
2021,Denmark,123,,
1990,Lithuania,183,,
1991,Lithuania,185,,
1992,Lithuania,109,,
1993,Lithuania,85,,
1994,Lithuania,99,,
