.chunk;bs;hs;bsr;hsr;vin;reg;loc;typ;inc;ttot;value
0;;;;sobo;;;;;;;150
1;;;;sobo;;FIN;;;;;300
1;;;;dihe;;DEU;;;;;-23
1;;;;biom;;DEU;;;;;10
1;;;;libo;;DEU;;;;;-7
1;;;;gabo;;FIN;;;;;100
1;;;;libo;;POL;;;;;20
1;;;;dihe;;POL;;;;;2
1;;;;gabo;;POL;;;;;5
2;;ehp1;;;;DEU;;;;;80
2;;reel;;;;DEU;;;;;60
#2;;reel;;;;FIN;;;;;200
#2;;libo;;;;FIN;;;;;100
2;;biom;;;;FIN;;;;;30
3;;reel;;reel;;DEU;;;;;0
3;;reel;;"0";;DEU;;;;;0
#3;;reel;;reel;;FIN;;;;;0
#3;;reel;;"0";;FIN;;;;;0
#3.5;;;;reel;;FIN;;;;;-20
4;;;;ehp1;;DEU;;;;2000;-20
4;;;;ehp1;;DEU;;;;2030;-10
4;;;;libo;;FIN;;;;2000;0
4;;;;libo;;FIN;;;;2010;40
4;;;;dihe;;FIN;;;;2000;30
4;;;;dihe;;FIN;;;;2025;0
4;;;;sobo;;POL;;;;2000;-10
4;;;;sobo;;POL;;;;2030;20
4;;;;ehp1;;POL;;;;2000;-10
4;;;;ehp1;;POL;;;;2015;-35
4;;;;biom;;POL;;;;2005;0
4;;;;biom;;POL;;;;2025;-35
4;;;;ehp1;;FIN;;;;2000;-60
4;;;;ehp1;;FIN;;;;2020;-40
